date,mean_pressure_hpa,abs_max_c,mean_c,abs_min_c,mean_dewpoint_c,mean_rh_pct,mean_cloud_pct,rainfall_mm,kingspark_bright_sunshine_hr,waglan_wind_dir_deg,waglan_wind_speed_kmh,source
2026-04-01,1012.3,27.3,24.5,22.4,19.8,76,85,0.6,3.8,360,8.9,HKO_dailyExtract_provisional
2026-04-02,1013.5,24.0,23.0,22.0,20.8,88,92,0.4,0.3,080,30.5,HKO_dailyExtract_provisional
2026-04-03,1009.0,27.1,25.5,23.2,22.6,84,88,0.0,1.0,230,26.7,HKO_dailyExtract_provisional
2026-04-04,1007.2,26.4,25.0,23.2,22.5,86,84,11.6,0.7,230,14.5,HKO_dailyExtract_provisional
2026-04-05,1007.8,25.7,24.0,23.1,22.5,92,93,45.1,0.1,060,20.7,HKO_dailyExtract_provisional
2026-04-06,1007.7,28.1,26.5,25.3,23.6,84,90,1.1,1.0,200,25.7,HKO_dailyExtract_provisional
2026-04-07,1009.2,29.2,27.2,26.0,24.0,83,89,0.1,2.1,180,17.6,HKO_dailyExtract_provisional
2026-04-08,1012.6,26.7,23.4,22.3,21.2,88,92,1.1,0.0,080,39.1,HKO_dailyExtract_provisional
2026-04-09,1011.3,28.0,25.6,23.3,22.3,82,72,0.0,4.8,080,19.1,HKO_dailyExtract_provisional
2026-04-10,1009.9,28.3,26.7,25.6,22.5,78,80,0.0,4.0,200,20.6,HKO_dailyExtract_provisional
2026-04-11,1008.9,27.6,26.6,25.9,23.1,81,88,0.0,0.5,180,21.2,HKO_dailyExtract_provisional
2026-04-12,1009.3,28.5,26.8,25.5,23.1,80,81,0.0,1.3,160,16.6,HKO_dailyExtract_provisional
2026-04-13,1011.1,29.7,27.1,25.9,22.9,78,72,0.0,5.1,160,17.1,HKO_dailyExtract_provisional
2026-04-14,1011.1,29.0,27.1,25.6,23.1,79,70,0.0,3.1,190,14.2,HKO_dailyExtract_provisional
2026-04-15,1010.1,28.9,26.9,25.4,22.9,79,49,0.0,6.4,200,11.3,HKO_dailyExtract_provisional
2026-04-16,1010.9,30.2,27.0,25.3,22.0,75,47,0.0,9.2,190,13.0,HKO_dailyExtract_provisional
2026-04-17,1012.0,28.0,25.2,23.0,21.7,82,68,19.6,0.9,330,7.0,HKO_dailyExtract_provisional
2026-04-18,1011.2,28.5,25.5,23.0,20.5,75,24,0.0,11.3,250,9.3,HKO_dailyExtract_provisional
2026-04-19,1011.2,30.0,26.7,24.4,22.2,77,42,0.0,10.6,090,5.8,HKO_dailyExtract_provisional
2026-04-20,1011.7,28.4,26.7,25.2,22.6,78,76,0.0,4.4,150,8.7,HKO_dailyExtract_provisional
2026-04-21,1010.4,28.9,26.8,24.4,23.1,81,73,2.5,2.5,160,14.9,HKO_dailyExtract_provisional
2026-04-22,1008.7,29.4,27.2,25.6,22.2,75,72,0.0,7.1,220,21.4,HKO_dailyExtract_provisional
2026-04-23,1008.5,29.0,25.8,23.5,22.4,82,86,0.1,1.4,220,18.1,HKO_dailyExtract_provisional
2026-04-24,1012.8,23.7,21.1,19.7,19.5,91,94,34.0,0.0,010,16.8,HKO_dailyExtract_provisional
2026-04-25,1014.8,26.5,23.2,20.1,19.7,81,88,0.0,3.8,080,15.1,HKO_dailyExtract_provisional
2026-04-26,1013.5,28.8,25.1,22.8,19.8,73,65,0.0,10.0,080,15.8,HKO_dailyExtract_provisional
2026-04-27,1012.3,27.9,25.2,23.5,21.0,78,83,0.0,5.4,080,15.0,HKO_dailyExtract_provisional
2026-04-28,1010.2,29.4,26.3,24.8,23.1,82,86,0.5,2.4,080,18.2,HKO_dailyExtract_provisional
2026-04-29,1010.4,28.4,24.8,22.3,21.9,84,89,43.7,3.0,250,13.3,HKO_dailyExtract_provisional
2026-04-30,1014.5,26.7,22.7,20.2,15.0,62,65,0.0,4.3,360,20.3,HKO_dailyExtract_provisional
