date,abs_max_c,mean_c,abs_min_c,mean_dewpoint_c,mean_rh_pct,mean_cloud_pct,rainfall_mm,source
2026-05-01,26.9,24.0,22.1,19.4,76,82,trace,HKO_dailyExtract_provisional
2026-05-02,27.0,25.2,24.1,22.1,83,83,trace,HKO_dailyExtract_provisional
2026-05-03,29.6,25.1,22.8,22.7,87,89,45.4,HKO_dailyExtract_provisional
2026-05-04,27.6,23.7,21.9,19.8,79,90,1.2,HKO_dailyExtract_provisional
2026-05-05,23.0,21.3,19.7,19.4,90,97,28.1,HKO_dailyExtract_provisional
2026-05-06,24.6,23.3,21.6,20.7,85,88,trace,HKO_dailyExtract_provisional
2026-05-07,29.3,25.9,24.0,22.2,81,56,0.0,HKO_dailyExtract_provisional
2026-05-08,30.3,26.9,24.7,23.2,81,81,0.6,HKO_dailyExtract_provisional
2026-05-09,26.1,23.7,23.0,21.1,85,89,13.0,HKO_dailyExtract_provisional
2026-05-10,26.1,24.0,23.4,20.6,81,78,0.0,HKO_dailyExtract_provisional
2026-05-11,28.8,25.7,23.2,21.7,79,73,0.0,HKO_dailyExtract_provisional
2026-05-12,31.6,27.6,25.0,23.6,80,81,0.0,HKO_dailyExtract_provisional
2026-05-13,31.1,28.3,26.2,23.7,76,73,0.0,HKO_dailyExtract_provisional
2026-05-14,29.2,27.5,26.0,24.5,84,86,5.9,HKO_dailyExtract_provisional
2026-05-15,27.4,26.1,25.2,23.7,87,92,6.5,HKO_dailyExtract_provisional
2026-05-16,25.6,24.6,23.9,22.4,88,92,9.1,HKO_dailyExtract_provisional
2026-05-17,25.4,24.3,23.3,21.9,87,93,4.8,HKO_dailyExtract_provisional
2026-05-18,26.3,25.4,24.7,23.0,87,88,2.3,HKO_dailyExtract_provisional
2026-05-19,26.4,25.6,25.0,24.0,91,90,27.8,HKO_dailyExtract_provisional
2026-05-20,30.7,28.0,25.9,25.0,84,88,3.2,HKO_dailyExtract_provisional
2026-05-21,31.5,28.1,25.3,25.6,87,92,66.1,HKO_dailyExtract_provisional
2026-05-22,31.4,28.9,27.2,25.1,80,88,1.0,HKO_dailyExtract_provisional
2026-05-23,30.3,29.0,28.0,25.1,80,86,0.0,HKO_dailyExtract_provisional
2026-05-24,31.5,29.6,28.6,25.3,78,87,0.0,HKO_dailyExtract_provisional
2026-05-25,32.0,29.8,28.7,25.0,75,83,0.0,HKO_dailyExtract_provisional
2026-05-26,32.0,30.0,29.0,25.9,79,85,0.0,HKO_dailyExtract_provisional
2026-05-27,33.7,30.7,28.8,25.7,75,83,0.0,HKO_dailyExtract_provisional
2026-05-28,33.4,30.6,28.8,25.7,75,46,0.0,HKO_dailyExtract_provisional
2026-05-29,34.1,30.6,27.0,25.7,76,55,12.2,HKO_dailyExtract_provisional
2026-05-30,32.6,29.3,27.3,24.0,73,70,0.0,HKO_dailyExtract_provisional
2026-05-31,30.9,28.8,27.9,23.8,74,79,trace,HKO_dailyExtract_provisional
