date,high_c,low_c
2021-01-01,15.0,8.6
2021-01-02,17.8,10.4
2021-01-03,20.6,13.4
2021-01-04,20.7,16.9
2021-01-05,21.9,17.3
2021-01-06,19.6,16.0
2021-01-07,18.3,10.6
2021-01-08,10.7,7.7
2021-01-09,13.1,8.0
2021-01-10,15.2,11.0
2021-01-11,12.4,9.2
2021-01-12,15.7,8.6
2021-01-13,17.8,10.4
2021-01-14,19.5,11.8
2021-01-15,20.9,14.6
2021-01-16,20.3,15.8
2021-01-17,19.6,14.1
2021-01-18,17.3,11.7
2021-01-19,17.4,12.6
2021-01-20,21.4,16.1
2021-01-21,22.8,17.6
2021-01-22,24.5,18.2
2021-01-23,24.4,17.7
2021-01-24,20.0,17.3
2021-01-25,22.9,16.9
2021-01-26,23.5,17.4
2021-01-27,21.9,17.6
2021-01-28,22.8,16.5
2021-01-29,19.7,14.3
2021-01-30,19.5,14.8
2021-01-31,21.6,16.0
2021-02-01,25.1,17.2
2021-02-02,27.6,17.7
2021-02-03,21.7,16.7
2021-02-04,23.8,16.8
2021-02-05,23.9,17.3
2021-02-06,25.7,17.5
2021-02-07,24.1,18.1
2021-02-08,22.7,18.2
2021-02-09,19.7,17.3
2021-02-10,17.4,15.8
2021-02-11,19.9,15.3
2021-02-12,22.3,15.5
2021-02-13,23.8,16.5
2021-02-14,22.8,17.4
2021-02-15,26.2,17.8
2021-02-16,24.2,18.2
2021-02-17,24.6,18.3
2021-02-18,22.9,16.7
2021-02-19,22.9,15.8
2021-02-20,23.9,16.7
2021-02-21,24.9,17.3
2021-02-22,26.0,18.4
2021-02-23,26.4,18.8
2021-02-24,22.9,18.9
2021-02-25,22.7,18.8
2021-02-26,25.1,20.4
2021-02-27,20.8,18.1
2021-02-28,22.8,18.1
2021-03-01,25.0,20.0
2021-03-02,25.6,19.1
2021-03-03,19.1,17.8
2021-03-04,19.4,18.3
2021-03-05,21.1,19.2
2021-03-06,21.7,19.6
2021-03-07,20.5,19.1
2021-03-08,22.6,18.3
2021-03-09,22.9,18.6
2021-03-10,21.7,19.2
2021-03-11,24.2,18.8
2021-03-12,27.7,20.2
2021-03-13,24.7,20.5
2021-03-14,23.6,20.1
2021-03-15,26.3,19.9
2021-03-16,28.8,21.1
2021-03-17,28.8,21.8
2021-03-18,26.2,22.2
2021-03-19,27.7,22.8
2021-03-20,29.7,22.3
2021-03-21,24.2,17.2
2021-03-22,20.9,15.8
2021-03-23,20.0,17.9
2021-03-24,23.5,18.4
2021-03-25,25.2,20.7
2021-03-26,25.2,19.5
2021-03-27,28.6,21.8
2021-03-28,28.1,22.6
2021-03-29,28.5,23.6
2021-03-30,29.0,25.3
2021-03-31,29.0,25.3
2021-04-01,29.4,25.2
2021-04-02,30.5,25.0
2021-04-03,30.6,24.4
2021-04-04,26.8,22.6
2021-04-05,23.2,21.6
2021-04-06,27.9,22.1
2021-04-07,26.0,21.8
2021-04-08,25.5,22.2
2021-04-09,22.4,19.7
2021-04-10,25.9,20.2
2021-04-11,27.0,20.9
2021-04-12,28.7,22.2
2021-04-13,31.2,23.0
2021-04-14,27.0,23.3
2021-04-15,23.4,21.5
2021-04-16,25.1,21.5
2021-04-17,23.1,22.3
2021-04-18,25.6,22.3
2021-04-19,24.9,21.2
2021-04-20,27.1,21.4
2021-04-21,28.7,22.1
2021-04-22,29.4,22.5
2021-04-23,32.6,23.9
2021-04-24,26.6,24.5
2021-04-25,26.5,22.4
2021-04-26,25.3,21.8
2021-04-27,23.7,22.7
2021-04-28,26.9,23.0
2021-04-29,28.2,21.7
2021-04-30,30.8,22.5
2021-05-01,30.0,23.8
2021-05-02,30.8,24.5
2021-05-03,25.4,23.5
2021-05-04,31.3,23.1
2021-05-05,31.7,23.3
2021-05-06,28.6,23.4
2021-05-07,30.5,24.0
2021-05-08,30.9,25.4
2021-05-09,31.7,26.8
2021-05-10,31.8,26.4
2021-05-11,31.4,27.7
2021-05-12,32.1,28.2
2021-05-13,32.0,28.0
2021-05-14,34.0,28.1
2021-05-15,33.8,27.9
2021-05-16,33.5,28.2
2021-05-17,33.3,28.8
2021-05-18,32.5,28.3
2021-05-19,33.5,28.8
2021-05-20,33.3,29.2
2021-05-21,34.0,29.5
2021-05-22,34.3,27.8
2021-05-23,36.1,28.9
2021-05-24,31.5,27.6
2021-05-25,30.1,27.5
2021-05-26,33.5,27.8
2021-05-27,33.2,28.2
2021-05-28,33.6,28.5
2021-05-29,32.8,28.8
2021-05-30,32.3,29.2
2021-05-31,32.4,26.7
2021-06-01,29.3,24.1
2021-06-02,31.3,25.0
2021-06-03,34.0,27.9
2021-06-04,29.8,26.7
2021-06-05,29.2,25.6
2021-06-06,31.4,26.4
2021-06-07,32.2,26.6
2021-06-08,33.5,26.5
2021-06-09,29.9,26.4
2021-06-10,32.8,25.5
2021-06-11,32.9,26.7
2021-06-12,29.5,26.2
2021-06-13,32.0,26.0
2021-06-14,31.1,27.8
2021-06-15,31.8,27.2
2021-06-16,33.3,29.1
2021-06-17,32.8,27.7
2021-06-18,32.8,29.0
2021-06-19,33.0,29.5
2021-06-20,32.8,29.4
2021-06-21,32.4,29.4
2021-06-22,30.2,24.7
2021-06-23,29.0,25.1
2021-06-24,26.7,25.1
2021-06-25,29.0,26.0
2021-06-26,29.9,25.9
2021-06-27,30.0,28.4
2021-06-28,29.6,24.0
2021-06-29,30.7,28.8
2021-06-30,32.6,29.0
2021-07-01,32.4,29.2
2021-07-02,32.8,29.3
2021-07-03,33.0,29.1
2021-07-04,33.2,28.9
2021-07-05,33.8,28.0
2021-07-06,32.7,26.7
2021-07-07,33.1,26.6
2021-07-08,32.8,28.4
2021-07-09,34.8,28.2
2021-07-10,34.0,28.2
2021-07-11,33.6,28.8
2021-07-12,34.8,28.7
2021-07-13,35.3,28.8
2021-07-14,34.1,29.1
2021-07-15,35.4,28.9
2021-07-16,30.9,28.7
2021-07-17,31.2,26.9
2021-07-18,28.8,24.9
2021-07-19,27.9,25.0
2021-07-20,27.1,25.3
2021-07-21,27.8,25.3
2021-07-22,32.8,26.9
2021-07-23,34.1,27.4
2021-07-24,33.2,26.5
2021-07-25,33.6,25.9
2021-07-26,33.9,28.7
2021-07-27,35.3,29.5
2021-07-28,34.1,29.1
2021-07-29,32.3,28.3
2021-07-30,30.5,26.5
2021-07-31,32.2,27.0
2021-08-01,32.5,27.1
2021-08-02,33.9,28.5
2021-08-03,29.7,27.1
2021-08-04,31.3,25.9
2021-08-05,28.6,26.2
2021-08-06,29.7,26.4
2021-08-07,30.9,27.6
2021-08-08,31.5,27.8
2021-08-09,31.3,27.2
2021-08-10,30.4,27.5
2021-08-11,32.1,27.1
2021-08-12,33.0,26.8
2021-08-13,30.7,26.6
2021-08-14,29.2,26.6
2021-08-15,30.0,25.7
2021-08-16,31.0,26.2
2021-08-17,32.5,27.4
2021-08-18,32.3,28.1
2021-08-19,31.0,26.2
2021-08-20,32.5,27.3
2021-08-21,32.5,28.0
2021-08-22,33.1,28.3
2021-08-23,33.2,28.4
2021-08-24,32.1,26.6
2021-08-25,34.4,28.2
2021-08-26,32.7,27.1
2021-08-27,29.2,23.4
2021-08-28,29.8,24.9
2021-08-29,29.9,25.3
2021-08-30,32.9,27.4
2021-08-31,29.1,25.2
2021-09-01,32.1,26.7
2021-09-02,33.0,27.7
2021-09-03,33.6,27.8
2021-09-04,33.6,27.9
2021-09-05,33.2,28.3
2021-09-06,32.5,28.0
2021-09-07,33.4,28.1
2021-09-08,34.3,28.2
2021-09-09,33.5,27.8
2021-09-10,33.7,28.6
2021-09-11,33.4,28.4
2021-09-12,34.5,29.0
2021-09-13,33.6,29.5
2021-09-14,30.2,26.7
2021-09-15,33.0,27.9
2021-09-16,31.9,26.8
2021-09-17,34.1,27.5
2021-09-18,33.2,28.3
2021-09-19,32.1,27.4
2021-09-20,32.3,27.9
2021-09-21,31.7,26.7
2021-09-22,34.0,27.9
2021-09-23,30.2,26.0
2021-09-24,32.0,27.8
2021-09-25,32.3,27.9
2021-09-26,31.6,27.8
